english	hindi
Neena	नीना
Neepa	नीपा
Neeraja	नीरजा
Neeta	नीता
Neeti	नीति
Neha	नेहा
Nehal	नेहल
Neharika	नेहारिका
Nesayem	नेसयेम
Netra	नेत्रा
Netravati	नेत्रवती
Nibaal	निबाल
Nida	निदा
Nidhi	निधि
Nidhipa	निधिपा
Nidhyana	निध्याना
Nidhyathi	निध्याथी
Nidra	निद्रा
Niharika	निहारिका
Niju	निजु
Nikara	निकारा
Nikhila	निखिला
Nikhita	निखिता
Nikki	निक्की
Nila	नीला
Nilakshi	नीलाक्षी
Nilambari	निलाम्बरी
Nilaruna	निलारूना
Nilasha	निलाशा
Nilashri	निलाश्री
Nilavoli	निलावोली
Nilaya	निलाया
Nileen	निलीन
Nilima	निलीमा
Nilini	निलिनी
Niloufer	निलौफ़ेर
Nilshikha	निलशिखा
Nimaat	निमात
Nimisha	निमिषा
Nimita	निमिता
Nimmi	निम्मी
Nina	नीना
Ninarika	निनारिका
Nipa	निपा
Nipeksha	निपेक्षा
Niradhara	निराधार
Niraimadhi	निरैमधि
Niral	निरल
Nirali	निराली
Niramayee	निरामई
Niranjana	निरंजना
Nirguna	निर्गुना
Nirja	नीरजा
Nirmala	निर्मला
Nirmayi	निरमई
Nirmitha	निर्मिता
Nirupa	निरूपा
Nirupama	निरुपमा
Nirvana	निर्वाना
Nisha	निशा
Nishay	निशय
Nishi	निशि
Nishithini	निशिथिनी
Nishka	निश्का
Nishtha	निष्ठा
Nistha	निष्ठा
Nita	नीता
Nitara	नितारा
Nitha	नीथा
Nithilam	निथिलम
Nithya	नित्या
Niti	नीति
Nitika	नितिका
Nitima	नितिमा
Nitu	नितु
Nitya	नित्या
Nityapriya	नित्याप्रिया
Nityasri	नित्यासरी
Nivedita	निवेदिता
Niverta	निवेरता
Nivriti	निवृति
Nivritti	निवृत्ति
Niyati	नियती
Noopur	नूपुर
Noor	नूर
Noor	नूर
Noorien	नूरिएन
Noorjehan	नूरज़ेहान
Noshi	नोशी
Nouf	नौफ
Nudhar	नुधर
Nuha	नुहा
Nupura	नुपूरा
Nurjahan	नूरजहाँ
Nusayba	नुसय्बा
Nusrat	नुसरत
Nutan	नूतन
Nuti	नूती
Nuzha	नुज्हा
Obalesh	ओबलेश
Oha	ओहा
Ohas	ओहस
Ojas	ओजस
Ojayit	ओजयित
Om	ओम
Oma	ओम
Omair	ओमैर
Omanand	ओमानंद
Omar	ओमर
Omarjeet	ओमरजीत
Omeir	ओमिर
Omesa	ओमेसा
Omesh	ओमेश
Omeshwar	ओमेश्वर
Omja	ओम्जा
Omkar	ओमकार
Omkarnath	ओमकारनाथ
Ompati	ओमपति
Omprakash	ओमप्रकाश
Omran	ओमरन
Omswaroop	ओमस्वरूप
Oni	ओनी
Oojam	ऊजम
Oorjit	ऊर्जित
Oppilmani	ओप्पिलमणि
Ori	ऑरी
Orion	ओरिओन
Ossama	ओसामा
Ottakoothan	ओत्तकूथन
Oviyan	ओवियान
Odathi	ओदथी
Oditi	ओदिती
Oindrila	ओंद्रिला
Oja	ओजा
Ojal	ओज़ल
Ojasvi	ओजस्वी
Ojaswini	ओजस्विनी
Oma	ओमा
Omaja	ओमाजा
Omala	ओमला
Omana	ओमना
Omisha	ओमिषा
Omkareshwari	ओमकारेश्वरी
Omkari	ओमकारी
Omvati	ओमवती
Oni	ओनी
Orpita	ओर्पिता
Oviya	ओविया
Paavan	पावन
Pachai	पचाई
Pachaimani	पचैमानी
Pachaimuthu	पचैमुथु
Padam	पदम
Padm	पद्म
Padmabandhu	पद्मबंधू
Padmadhar	पद्मधर
Padmahasta	पद्महस्ता
Padmaj	पद्माज
Padmakant	पद्मकांत
Padmakar	पद्माकर
Padmalochan	पद्मलोचन
Padman	पदमन
Padmanabh	पद्मनाभ
Padmanabha	पद्मनाभा
Padmapani	पद्मपानी
Padmapati	पद्मापति
Padmayani	पद्मायानी
Padmesh	पदमेश
Padminish	पद्मिनिश
Pahal	पहल
Paksha	पक्ष
Palak	पलक
Palani	पलानी
Palaniappan	पालनियप्पन
Palanikumar	पलानिकुमार
Palanimurugan	पलानिमुरुगन
Palanisami	पलानिसमी
Palanivel	पालनीवेल
Palash	पलाश
Palashkusum	पलाशकुसूम
Palashranjan	पलाशरंजन
Palin	पालिन
Pallab	पल्लब
Pallav	पल्लव
Panav	पनव
Panchajana	पंचाजना
Panchal	पंचाल
Panchanan	पंचानन
Panchavaktra	पंचावक्त्र
Pandhari	पंधारी
Pandita	पंडिता
Pandu	पांडू
Pandurang	पांडुरंग
Panduranga	पान्दुरंगा
Pandya	पंड्या
Panine	पाणिनी
Panini	पाणिनी
Pankaj	पंकज
Pankajalochana	पंकजलोचना
Pankajan	पंकजन
Pankajeet	पंकजीत
Panmoli	पानमोली
Pannalal	पन्नालाल
Pann-gesh	पण-गेश
Panshul	पंशुल
Parag	पराग
Parakram	पराक्रम
Param	परम
Paramananda	परमानंदा
Paramartha	परमार्थ
Paramesh	परमेश
Parameshwar	परमेश्वर
Param-hans	परम-हंस
Paramhansa	परमहंसा
Paramjeet	परमजीत
Paramjit	परमजीत
Paran	परन
Paranjay	परान्जय
Parantapa	परंतापा
Paras	पारस
Parashar	पराशर
Parashuram	परशुराम
Parasmani	पारसमानी
Parasme	परसमे
Paratpara	परात्पर
Paravasu	परवासू
Parbrahm	पारब्रह्म
Parees	परीस
Paresh	परेश
Paresha	परेशा
Pari	पारी
Parighosh	परिघोश
Parijat	पारिजात
Pariket	परिकेत
Parikshit	परिक्षित
Parimal	परिमल
Parin	पॅरिन
Parindra	परिंद्रा
Paritosh	पारितोश
Parmarth	परमार्थ
Parmeet	परमीत
Parmesh	परमेश
Parminder	परमिंदर
Parnad	पर्नाद
Parth	पार्थ
Partha	पार्था
Parthapratim	पार्थाप्रतिम
Parthasarathi	पार्थसारथी
Parthiv	पार्थिव
Parvat	पर्वत
Parvateshwar	पर्वतेश्वर
Parvatinandan	पार्वती नंदन
Parvesh	परवेश
Parwez	परवेज़
Pashunath	पशुनाथ
Pashupati	पशुपति
Pasupati	पसुपति
Patag	पतग
Patakin	पताकिन
Patanjali	पतंजलि
Pathik	पथिक
Pathin	पथिन
Patoj	पतोज
Patr	पत्र
Patralika	पत्रलिका
Paurav	पौरव
Pavak	पावक
Pavalan	पवालन
Pavan	पवन
Pavanaj	पवानाज
Pavani	पावनी
Pavankumar	पवनकुमार
Pavanputra	पवनसुत
Pavansut	पवनसुत
Pavitra	पवित्र
Payas	पयास
Payod	पयोद
Peeyush	पीयूष
Pehlaj	पहलाज
Perumal	पेरुमल
Phalak	फलक
Phalgun	फ़ाल्गुन
Phani	फनी
Phanibhusan	फनिभुसन
Phaninath	फनिनाथ
Phanindra	फनिंद्र
Phanindranath	फनिन्द्रनाथ
Phanishwar	फनिश्वर
Phenil	फेनिल
Phoolendu	फूलेंदु
Pinak	पीनाक
Pinaki	पिनाकी
Pinakin	पिनाकिन
Pingal	पिंगल
Pirmohammed	पिरमोहम्मेद
Pitambar	पीताम्बर
Piyush	पीयूष
Ponnan	पोंनन
Poojan	पूजन
Poojit	पूजीत
Poonish	पूनिश
Pooran	पूरण
Poorna	पूर्णा
Poornachandra	पूर्नाचंद्रा
Poornanand	पूर्नानंद
Poorv	पूर्व
Poorvaj	पूर्वज
Prabal	प्रबल
Prabhakar	प्रभाकर
Prabhanjan	प्रभंजन
Prabhas	प्रभास
Prabhat	प्रभात
Prabhav	प्रभाव
Prabhave	प्रभाव
Prabhu	प्रभु
Prabir	प्रबीर
Prabodh	प्रबोध
Prabodhan	प्रबोधन
Prabuddha	प्रबुद्ध
Prachet	प्रचेत
Pracheta	प्रचेता
Prachetas	प्रचेतास
Prachur	प्रचुर
Pradarsh	प्रदर्श
Pradeep	प्रदीप
Pradhi	प्राधि
Pradnesh	प्रद्नेश
Pradosh	प्रदोष
Pradyot	प्रदयोत
Pradyumna	प्रद्युम्न
Pradyun	प्रदयुन
Praful	प्रफुल
Prafulla	प्रफुल्ला
Pragnya	प्रग्न्या
Pragun	प्रगुन
Prahalad	प्रहलाद
Prahallad	प्रहल्लाद
Prahlad	प्रहलाद
Prajapati	प्रजापति
Prajeet	प्रजीत
Prajesh	प्रजेश
Prajin	प्रजिन
Prajit	प्रजित
Prajit	पराजित
Prajval	प्रज्वल
Prajvala	प्रज्वला
Prakash	प्रकाश
Prakat	प्रकट
Praket	प्रकट
Prakhar	प्रखर
Prakrit	प्राकृत
Prakriti	प्राकृति
Prakul	प्राकुल
Pralay	प्रलय
Pramath	प्रमात
Pramesh	प्रमेश
Pramit	प्रमित
Pramod	प्रमोद
Pramodan	प्रमोदन
Pramsu	प्रम्सू
Pramukh	प्रमुख
Pran	प्राण
Prana	प्राण
Pranad	प्रनद
Pranav	प्रणव
Pranava	प्रणव
Pranay	प्रणय
Praneel	प्रनील
Praneeth	प्रनीथ
Pranesh	प्रनेश
Pranet	प्रनेत
Praney	प्रनेय
Pranit	प्रणित
Pranjal	प्रांजल
Pranjivan	प्राणजीवन
Prannath	प्राणनाथ
Pranshu	प्रन्शु
Pransu	प्रन्सू
Pransukh	प्रानसुख
Prasad	प्रसाद
Prasanna	प्रसन्ना
Prasata	प्रसता
Prasenjit	प्रसेंजित
Prasham	प्रषम
Prashant	प्रशांत
Prashanta	प्रशांता
Prashray	प्रश्रय
Prasiddhi	प्रसिद्धि
Prasoon	प्रसून
Prasun	प्रसून
Pratap	प्रताप
Prateek	प्रतीक
Prateep	प्रतीप
Prateet	प्रतीत
Prathamesh	प्रथमेश
Prathmesh	प्रथमेश
Pratik	प्रतीक
Pratiti	प्रतिती
Pratosh	प्रतोश
Pratul	प्रतुल
Pratyush	प्रत्यूष
Praval	प्रवल
Pravan	प्रवण
Pravar	प्रवर
Praveen	प्रवीण
Praveer	प्रवीर
Praver	प्रवेर
Pravin	प्रवीन
Pravir	प्रवीर
Pravit	प्रवित
Prayag	प्रयाग
Preetam	प्रीतम
Preetidutt	प्रीतिदुत्त
Preetish	प्रीतीश
Preetiwardhan	प्रीतिवर्धन
Prem	प्रेम
Premal	प्रेमल
Premanand	प्रेमानांद
Premendra	प्रेमेन्द्र
Prerit	प्रेरित
Pretvan	प्रेतवान
Pribhakta	प्रिभक्ता
Prina	प्रिना
Prineet	प्रिनीत
Prinita	परिणीता
Pritam	प्रीतम
Pritesh	प्रीतेश
Prithish	प्रीथिश
Prithu	प्रिथु
Prithvi	पृथ्वी
Prithvijaj	पृथ्विज़ज़
Prithviraj	पृथ्वीराज
Pritish	प्रीतिश
Privrata	प्रिव्रता
Priya	प्रिया
Priyabrata	प्रियब्रता
Priyadarshan	प्रियदर्शन
Priyadarshi	प्रियदर्शी
Priyaka	प्रियका
Priyank	प्रियांक
Priyanshu	प्रियांशु
Priyanvad	प्रियंवाद
Priyaranjan	प्रियरंजन
Priyesh	प्रियेश
Pruthivi	पृथिवी
Pugal	पुगल
Pugalendhi	पुगलेंधी
Pujan	पूजन
Pujit	पुजीत
Pukhraj	पुखराज
Pulak	पुलक
Pulakesh	पुलाकेश
Pulastya	पुलासत्य
Pulin	पुलिन
Pulish	पुलिश
Pulkit	पुलकित
Pundalik	पुन्दलिक
Pundarik	पुंदरीक
Puneet	पुनीत
Punit	पुनीत
Punyabrata	पुन्यब्रता
Punyasloka	पुन्यस्लोका
Purahan	पुरहण
Purajit	पुराजित
Puran	पुरान
Purandar	पुरंदर
Puranjay	पुरांजय
Purav	पूर्व
Purnanada	पुर्नानादा
Purnendu	पुर्नेंदु
Purohit	पुरोहित
Purshottam	पुरषोत्तम
Puru	पूरु
Purujit	पुरूजीत
Purumitra	पुरुमित्रा
Pururava	पुरुरवा
Purushottam	पुरुषोत्तम
Pusan	पुसन
Pushkal	पुष्कल
Pushkar	पुष्कर
Pushp	पुष्प
Pushpad	पुश्पद
Pushpaj	पुष्पज
Pushpak	पुष्पक
Pushpakar	पुष्पकर
Pushpaketu	पुष्पकेतु
Pushpesh	पुष्पेश
Pushp-mitra	पुष्प-मित्र
Puskara	पुस्कारा
Pyarelal	प्यारेलाल
Pyaremohan	प्यारेमोहन
Padma	पद्मा
Padmagriha	पद्मग्रिहा
Padmaja	पद्मजा
Padmajai	पद्माजई
Padmakali	पद्माकली
Padmakshi	पद्माक्षी
Padmal	पद्मल
Padmalaya	पद्मालय
Padmalochana	पद्मलोचना
Padmamalini	पद्ममालिनी
Padmapriya	पद्मप्रिया
Padmarekha	पद्मरेखा
Padmaroopa	पद्मारूपा
Padmashri	पद्मश्री
Padmavasa	पद्मवासा
Padmavati	पद्मावती
Padmini	पद्मिनी
Padnuni	पादनुनी
Pahal	पहल
Pakhi	पख़ी
Pakshalika	पक्षालिका
Pakshi	पक्षी
Palaksi	पलाकसी
Pallavi	पल्लवी
Pallavini	पल्लविनी
Palomi	पलोमी
Pameela	पमीला
Pamela	पामेला
Pampa	पम्पा
Panchali	पंचाली
Panita	पनिता
Pankaja	पंकज़ा
Pankajadharini	पंकाजधारिणी
Pankhudi	पंखुड़ी
Pankita	पंकिता
Pankti	पंक्ति
Panna	पन्ना
Panya	पान्या
Paola	पाओला
Parajika	पराजिका
Parama	परमा
Parameshwari	परमेश्वरी
Paramita	परामिता
Paravi	परावी
Parbarti	पर्बर्ती
Pari	परी
Paridhi	परिधि
Parina	परिना
Parinita	परिणीता
Parivita	परिविता
Pariyat	परियत
Parmila	परमिला
Parmita	पारमिता
Parnal	पर्नल
Parnashri	पर्नाश्री
Parnavi	पर्नवी
Parni	पर्णी
Parnik	पर्णिक
Parnika	पर्णिका
Parnita	पर्निता
Parthavi	पार्थावी
Parthivi	पार्थीवी
Parul	पारूल
Parvani	परवानी
Parvati	पार्वती
Parveen	परवीन
Parvini	पर्विनी
Pasha	पाशा
Pashupriya	पशुप्रिया
Patala	पताला
Patmanjari	पट मंजरी
Patralekha	पत्रलेखा
Paulomi	पौलोमी
Pauravi	पौरवी
Pavaki	पावकी
Pavana	पावना
Pavani	पावनी
Pavi	पवि
Payal	पायल
Payoja	पायोज़ा
Pehr	पहर
Phiroza	फ़िरोज़ा
Phoolan	फूलन
Phutika	फुतिका
Pia	पीया
Piki	पीकी
Pinakini	पिनाकिनी
Pinga	पिंगा
Pingala	पिंगला
Pingla	पिंगला
Pival	पिवाल
Pivari	पिवारी
Piyali	पियाली
Pooja	पूजा
Poonam	पूनम
Poorbi	पूरबी
Poornakamala	पूर्नाकमला
Poornima	पूर्णिमा
Poorva	पूर्वा
Poorvaganga	पूर्वगंगा
Poorvi	पूर्वी
Poushali	पौशाली
Prabha	प्रभा
Prabhada	प्रभादा
Prabhati	प्रभाती
Prabhavati	प्रभावती
Pracheeta	प्रचीता
Prachi	प्राची
Pradeepta	प्रदीप्ता
Pradnaya	प्रादनाया
Pradnya	प्राद्न्य
Prafula	प्रफुला
Pragalbha	प्रगालभा
Pragati	प्रगती
Pragnya	प्रगन्या
Pragya	प्रज्ञा
Pragyaparamita	प्रग्यपरामिता
Pragyawati	प्रग्यावती
Prajakta	प्राजक्ता
Prajna	प्रजना
Prakalpa	प्रकल्पा
Prakhya	प्राख्या
Prama	प्रमा
Pramada	प्रमदा
Pramila	प्रमिला
Pramiti	प्रामिति
Pranali	प्रणाली
Pranati	प्राणती
Pranavi	प्रनवी
Pranaya	प्रनाया
Praneeta	प्रनीता
Pranidhi	प्रनिधि
Pranita	प्रनिता
Pranjeeta	प्रानजीता
Pranvuta	प्रंवुता
Prapti	प्राप्ति
Prarthana	प्रार्थना
Prasana	प्रसना
Prashansa	प्रशंसा
Prashanthi	प्राशंथी
Prashanti	प्रशांति
Prasheetha	प्रशीथा
Prasheila	प्रशेइला
Prathysha	प्रत्यशा
Pratibha	प्रतिभा
Pratichi	प्रतीची
Pratigya	प्रतिज्ञा
Pratika	प्रतिका
Pratiksha	प्रतीक्षा
Pratima	प्रतिमा
Pratishtha	प्रतिष्ठा
Pratitha	प्रतिथा
Pratyusha	प्रत्युषा
Pravina	प्रवीना
Prayuta	प्रयुता
Preet	प्रीत
Preetha	प्रीथा
Preeti	प्रीति
Prem	प्रेम
Prema	प्रेमा
Premala	प्रेमला
Premila	प्रेमीला
Prerana	प्रेरणा
Prerna	प्रेरणा
Preshti	प्रेष्टि
Prestha	प्रेस्था
Preyasi	प्रेयसी
Prianka	प्रीअंका
Prina	प्रिना
Prinaka	प्रिनाका
Prisha	प्रिषा
Prita	प्रीता
Prital	प्रितल
Pritha	परीता
Prithika	प्रिथिका
Priti	प्रीति
Pritika	प्रितिका
Pritikana	प्रितिकाना
Pritilata	प्रितिलता
Priya	प्रिया
Priyadarshini	प्रियदर्शीनी
Priyadutta	प्रियादुत्ता
Priyal	प्रियल
Priyala	प्रियाला
Priyam	प्रियाँ
Priyamvada	प्रियंवदा
Priyanka	प्रियंका
Priyanvada	प्रियंवदा
Priyasha	प्रियाशा
Prutha	पृथा
Puja	पूजा
Puji	पूजी
Pujita	पुजीता
Pujya	पुज्या
Pulkita	पुल्किता
Puloma	पूलोमा
Punarnava	पुनर्नावा
Pundari	पुन्दारी
Puneet	पुनीत
Punita	पुनीता
Punthali	पुंथाली
Punya	पुन्या
Purala	पुराला
Purandhri	पुरान्धरी
Purnima	पूर्णिमा
Purva	पूर्वा
Purvaja	पूर्वज़ा
Purvi	पूर्वी
Pusha	पूषा
Pushpa	पुष्पा
Pushpagandha	पुष्पगंधा
Pushpalata	पुष्पलता
Pushpanjali	पुष्पंज़लि
Pushpavathi	पुश्पावथी
Pushpita	पुष्पिता
Pusti	पुस्ति
Putana	पूतना
Putul	पुतुल
Qasim	कासिम
Qatadah	क़तादः
Qays	क़य्स
Quamar	क़ुमर
Quasim	कुअसिम
Qudamah	क़ुदामाह
Qutaybah	कुताय्बह
Qutub	क़ुतूब
Quarrtulain	कुँर्र्तुलें
Quasar	कुअसर
Raakin	रामिज़
Raamiz	रामिज़
Raatib	रातिब
Rabah	रबह
Rabee	रबी
Rachit	रचित
Radhak	राधाक
Radhakanta	राधाकांता
Radhakrishna	राधाकृष्णा
Radhatanaya	राधा तनय
Radhavallabh	राधा वल्लभ
Radhesh	राधेश
Radheshyam	राधेश्याम
Radheya	राधेया
Ra'ed	र'एद
Rafat	रफत
Rafee'	रफी
Raghav	राघव
Raghavendra	राघवेन्द्र
Raghbir	रघबीर
Ragheb	रघेब
Raghu	रघु
Raghubir	रघुबीर
Raghukumara	रघुकुमारा
Raghunandan	रघुनन्दन
Raghunath	रघुनाथ
Raghupati	रघुपति
Raghuvir	रघुवीर
Ragin	रागिन
Rahas	रहस
Raheel	राहील
Raheem	रहीम
Rahi	राही
Rahil	राहील
Rahim	रहीम
Rahman	रहमान
Rahul	राहुल
Raivata	रैवता
Raivath	रैवत
Raj	राज
Raja	राजा
Rajab	रजब
Rajak	रजक
Rajan	राजन
Rajani	रजनी
Rajanikant	रजनीकांत
Rajanikanta	राजनीकाँता
Rajanya	राजन्य
Rajarshi	रजर्शी
Rajas	राजस
Rajat	रजत
Rajatanabhi	रजतानाभी
Rajatshubhra	रजत्शुभ्रा
Rajdeep	राजदीप
Rajender	राजेंदर
Rajendra	राजेंद्र
Rajendrakumar	राजेंद्रकुमार
Rajendramohan	राजेंद्रमोहन
Rajesh	राजेश
Rajevalochan	राजीवालोचन
Rajinder	राजिंदर
Rajinipati	रजिनिपति
Rajit	रजित
Rajiv	राजीव
Rajivalochana	राजीवालोचना
Rajkumar	राजकुमार
Rajnish	रजनीश
Rajrishi	रजर्शी
Raju	राजू
Rajul	राजुल
Rajyashree	राज्यश्री
Rajyeshwar	राज्येश्वर
Rakesh	राकेश
Raksha	रक्षा
Rakshan	रक्षण
Raktakamal	रक्ताकमल
Ram	राम
Ramadeep	रामादीप
Ramadhuta	रामाधुता
Ramakant	रमाकांत
Ramakanta	रमाकांता
Ramakrishna	रामकृष्णा
Raman	रमण
Ramanand	रामानंद
Ramandeep	रमनदीप
Ramanjit	रमनजित
Ramanpreet	रमनप्रीत
Ramanuj	रामानुज
Ramanuja	रामानुज़ा
Ramanveer	रमनवीर
Ramashray	रामाश्रय
Ramavatar	रामावतार
Ramchandra	रामचंद्रा
Ramdas	रामदास
Ram-datt	राम-दत्त
Rameez	रमीज़
Ramesh	रमेश
Rameshwar	रामेश्वर
Ramgopal	रामगोपाल
Ramith	रमित
Ramkishore	रामकिशोरे
Ramkrishna	रामकृष्णा
Ramkumar	रामकुमार
Rammohan	राममोहन
Ramnath	रामनाथ
Ramoji	रामोजी
Ramprasad	रामप्रसाद
Rampratap	रामप्रताप
Ramra	रामरा
Ramratan	रामरतन
Ramswaroop	रामस्वरूप
Rana	राना
Ranadeva	रनादेवा
Ranajay	रनाज़य
Ranajit	रणजीत
Ranak	रनक
Randeep	रणदीप
Randhir	रणधीर
Ranesh	रानेश
Rangan	रंगन
Ranganath	रंगनाथ
Rangith	रंगित
Ranjan	रंजन
Ranjay	रंजय
Ranjeet	रणजीत
Ranjit	रंजीत
Ranjiv	रंजिव
Rantidev	रंतिदेव
Ranveer	रणवीर
Rasaraj	रसराज
Rasbihari	रासबिहारी
Rasesh	रसेश
Rashad	राशद
Rashid	रशीद
Rashmil	रश्मील
Rasik	रसिक
Rasul	रसूल
Rasul aidil	रसूल एदिल
Ratan	रतन
Ratannabha	रतन्नाभा
Rathik	रतीक
Rathin	रथिन
Ratinderpal	रतिन्देरपल
Ratish	रतीश
Ratnabhu	रत्नाभु
Ratnakar	रत्नाकर
Ratnanidhi	रत्नानिधि
Ratnesh	रत्नेश
Ratul	रतुल
Ravalnath	रावलनाथ
Raven	रवेन
Ravi	रवि
Ravikanth	रविकांत
Ravikeerti	रविकीर्ती
Ravikiran	रवीकिरण
Ravinandan	रविनंदन
Ravindra	रवींद्र
Ravindranath	रविंद्रनाथ
Ravinshu	रविन्शु
Ravish	रवीश
Ravisharan	रविशरण
Ravishu	रविशु
Ravit	रवित
Ravoof	रवूफ़
Ray	राय
Rayirth	रईर्थ
Raza	रज़ा
Razak	रज़ाक
Rebanta	रेबांता
Regender	रेगेनदर
Rehaan	रेहान
Rehan	रेहान
Rehman	रेहमान
Rehmat	रेहमात
Rehyaaz	रेह्याज़
Renaud	रेनौद
Renesh	रेनेश
Renit	रेनित
Revanth	रेवंथ
Riddhiman	रिद्धिमान
Ridha	रिधा
Ridhwan	रिध्वन
Ridit	रिदित
Rigved	ऋग्वेद
Rijul	रिजूल
Rikin	रिकिन
Ripu	रिपु
Ripudaman	रीपुदमान
Rishab	रिस्हब
Rishabh	रिषभ
Rishan	रिशान
Rishi	ऋषि
Rishikesh	ऋषिकेश
Rishit	रिषित
Rishvanjas	रिश्वंजास
Ritesh	रितेश
Rithik	रितिक
Rituparan	रितुपराण
Rituraj	रितुराज
Ritvik	ऋत्विक
Rivan	रीवन
Riyadh	रियाध
Riyaz	रियाज़
Riyyan	रिय्यान
Rizvan	रिज़वान
Rizvi	रिज़वी
Rochak	रोचक
Rochan	रोचन
Rohak	रोधक
Rohan	रोहन
Rohanlal	रोहनलाल
Rohiniraman	रोहिनिरमण
Rohinish	रोहिनिश
Rohit	रोहित
Rohitasva	रोहितास्व
Rohtak	रोहतक
Romir	रोमिर
Ronak	रोनक
Ronav	रोनव
Ronith	रोनित
Ronsher	रोनशेर
Roopak	रूपक
Roshan	रोशन
Ruchir	रुचिर
Rudr	रुद्र
Rudra	रुद्रा
Ruhan	रूहान
Rujul	रूजूल
Rukm	रुक्म
Rukma	रुकमा
Rukminesh	रुक्मिनेश
Rupak	रूपक
Rupang	रुपंग
Rupendra	रुपेंद्र
Rupesh	रूपेश
Rupeshwar	रुपेश्वर
Rupin	रुपिन
Rushabh	रुशभ
Rusham	रुषम
Rushan	रुशन
Rushang	रुशंग
Rusheek	रुशीक
Rushil	ऋशील
Rustam	रुस्तम
Rustom	रुस्तोम
Rutajit	रुताजित
Rutesh	रुतेश
Rutujit	रुतुजित
Rutva	रुत्वा
Rutvij	रुत्विज
Rwiju	र्विजू
Raaida	रैदा
Raawiya	राविया
Rabab	रबाब
Rabeea	राबीया
Rabhya	राभ्या
Rabia	राबिया
Rachana	रचना
Rachita	रचिता
Rachna	रचना
Radha	राधा
Radhana	राधना
Radhani	राधानी
Radhika	राधिका
Radhiyaa	रधिया
Radhwa	राध्वा
Raeleah	रैलेः
Rafa	रफा
Rafia	रफिया
Raghd	राघ्द
Ragi	रागी
Ragini	रागिनी
Rahela	राहेला
Raima	रायमा
Rajalakshmi	राजालक्ष्मी
Rajam	राजम
Rajani	रजनी
Rajanigandha	रजनीगंधा
Rajashri	राजश्री
Rajasi	राजसी
Rajata	राजता
Rajdulari	राजदुलारी
Rajeshri	राजेश्री
Rajeshwari	राजेश्वरी
Rajhans	राजहंस
Rajhansa	राजहंसा
Raji	राजी
Rajika	राजिका
Rajitha	रजिता
Rajivini	राजीविनी
Rajkumari	राजकुमारी
Rajnandhini	राजनंधिनी
Rajnandini	राजनंदिनी
Rajni	रजनी
Rajshri	राजश्री
Rajul	राजुल
Raka	राका
Rakhi	राखि
Raksha	रक्षा
Rakti	रक्ति
Rama	रमा
Ramana	रमाना
Ramani	रामानी
Rambha	रंभा
Rameshwari	रमेश्वरी
Ramila	रमिला
Ramini	रामिनी
Ramita	रमिता
Ramola	रमोला
Ramra	रामरा
Ramya	राम्या
Rand	रन्द
Rangana	रंगना
Rangitha	रंगिथा
Ranhita	रंहिता
Ranhitha	रंहिथा
Rani	रानी
Ranita	रानीता
Raniya	रानिया
Ranjana	रंजना
Ranjika	रंजिका
Ranjini	रंजिनी
Ranjita	रंजीता
Ranjudeep	रंजुदीप
Ranvitha	रन्विथा
Ranya	रन्य
Rasha	राषा
Rasheeda	रशीदा
Rashi	राशि
Rashmi	रश्मि
Rashmika	रश्मिका
Rasika	रसिका
Rasna	रसना
Ratanjali	रतांजलि
Rathika	रतिका
Rati	रती
Ratna	रत्ना
Ratnabala	रत्नाबाला
Ratnabali	रत्नाबली
Ratnajyoti	रत्नाज्योती
Ratnajyouti	रत्नाज्यौती
Ratnalekha	रत्नालेखा
Ratnali	रत्नाली
Ratnamala	रत्नमाला
Ratnangi	रत्नांगी
Ratnaprabha	रत्नप्रभा
Ratnapriya	रत्नाप्रिया
Ratnavali	रत्नावली
Ratri	रात्रि
Raveena	रवीना
Raviprabha	रविप्रभा
Rawdha	राव्धा
Raya	रया
Rebha	रेभा
Reem	रीम
Reema	रीमा
Reena	रीना
Rehwa	रेहवा
Rekha	रेखा
Reman	रेमान
Reneeka	रेनीका
Renu	रेणु
Renuka	रेणुका
Resham	रेशम
Reshika	रेशिका
Reshma	रेश्मा
Reshmi	रेश्मी
Reva	रेवा
Revathi	रेवथी
Revati	रेवती
Rewa	रेवा
Ria	रिया
Richa	ऋचा
Richitha	रिचीथा
Riddhi	रिद्धि
Ridhima	रिधिमा
Rihana	रिहाना
Riju	रीजू
Riju	रिजू
Rijuta	रिजुता
Rima	रीमा
Rina	रीना
Rinkal	रिन्कल
Risha	रिषा
Rishika	ऋषिका
Rishima	रिशिमा
Rishma	रिश्मा
Rishmitha	रिश्मिथा
Rita	रीटा
Rithika	ऋतिका
Riti	रीति
Ritika	रितिका
Ritisha	रितिषा
Ritsika	रितसिका
Ritu	रीतू
Rituparna	रितुपर्ना
Riya	रिया
Rochi	रोची
Rohana	रोहाना
Rohin	रोहिन
Rohini	रोहीनी
Rohita	रोहिता
Rolee	रोली
Roma	रोमा
Romila	रोमिला
Roop	रूप
Roopa	रूपा
Roopali	रूपाली
Roopini	रूपिनी
Roshan	रोशन
Roshna	रोशना
Roshni	रोशनी
Rubaina	रूबैना
Rucha	रुचा
Ruchi	रुचि
Ruchika	रुचिका
Ruchira	रुचिरा
Ruchita	रुचिता
Ruchitha	रूचिता
Rudrabhiravi	रुद्रभिरावी
Rudrakali	रुद्रकाली
