english	hindi
Arvinda	अरविंदा
Arya	आर्या
Aryaman	आर्यमान
Aryan	आर्यन
Asav	आसाओ
Aseem	असीम
Asgar	असग़र
Ashcharya	आश्चर्य
Asheem	अशीम
Ashesh	आशेश
Ashfaq	अशफाक
Ashirvad	आशीर्वाद
Ashis	आशिस
Ashish	आशीष
Ashit	असित
Ashlesh	आश्लेश
Ashman	आशमान
Ashok	अशोक
Ashraf	अशरफ़
Ashray	आश्रय
Ashu	आशू
Ashutosh	आशुतोष
Ashvath	अश्वथ
Ashvin	अश्विन
Ashwaghosh	अश्वघोष
Ashwatthama	अश्वत्थामा
Ashwin	अश्विन
Ashwini	अश्विनी
Asif	आसिफ
Asit	असित
Asitvaran	असित्वरण
Aslesh	असलेश
Astik	आस्तिक
Asuman	असुमान
Asvin	अश्विन
Ataa	अता
Atal	अटल
Atambhu	अताम्भु
Atamveer	अतमवीर
Atanu	अतानु
Ateet	अतीत
Atharvan	अथर्वन
Atif	आतिफ
Atiksh	अतिक्ष
Atish	आतिश
Atithi	अतिथि
Atiya	अतिया
Atma	आत्मा
Atmaj	आत्मज
Atmaja	आत्मजा
Atmajyoti	आत्मज्योति
Atman	आत्मन
Atmananda	आत्मनंदा
Atraiu	अत्रेऊ
Atralarasu	अत्रलारासु
Atreya	आतरेया
Atul	अतुल
Atulya	अतुल्या
Avadhesh	अवधेश
Avalok	अवलोक
Avanindra	अवनिन्द्र
Avanish	अवनीश
Avashesh	अवशेष
Avasyu	अवस्यु
Avatar	अवतार
Avi	अवि
Avichal	अविचल
Avijit	अविजित
Avikam	अविकम
Avikshit	अवीक्षित
Avilash	अविलाश
Avinash	अविनाश
Avinashi	अविनाशी
Avirat	अविरत
Avkash	अवकाश
Avtar	अवतार
Avyukta	अव्युकता
Awad	आवाद
Aws	अवस
Ayaaz	अयाज़
Ayman	अयमान
Ayog	आयोग
Ayoob	अयूब
Ayush	आयुष
Ayushman	आयुष्मान
Ayyapan	अय्यपन
Azam	अज़म
Azb	अज़्ब
Azhar	अजहर
Azhmeer	अज्ह्मीर
Azzaam	अज्जाम
Aabha	आभा
Aabharana	आभरण
Aadab	आदाब
Aadarshini	आदर्शिनी
Aadhya	आध्या
Aadita	आदिता
Aadrika	आद्रिका
Aahladita	आहलादिता
Aahna	आह्ना
Aakanksha	आकांक्षा
Aalia	आलिया
Aaliya	आलिया
Aamaal	आमाल
Aaoka	आलोका
Aapti	आप्ति
Aaratrika	आरात्रिका
Aarini	आरिनी
Aarna	आर्ना
Aarti	आरती
Aashalata	आशालता
Aashi	आशी
Aashika	आशिका
Aashiyana	आशियाना
Aashna	आष्ना
Aashni	आष्नी
Aashritha	आश्रिता
Aasia	आसिया
Aasmaa	आसमा
Aastha	आस्था
Aathmika	आथ्मिका
Aatikah	आतिकः
Aatmaja	आत्मजा
Aayushi	आयुशी
Abeer	अबीर
Abha	आभा
Abhati	अभाती
Abhaya	अभया
Abhidha	अभीधा
Abhidhya	अभीध्या
Abhijata	अभिजात
Abhijita	अभिजीता
Abhijna	अभीज्ना
Abhilasa	अभिलासा
Abhilasha	अभिलाशा
Abhinithi	अभिनीति
Abhiprithi	अभिप्रिथि
Abhira	अभिरा
Abhirami	अभिरामी
Abhirathi	अभिरथी
Abhiri	अभिरी
Abhiruchi	अभिरुचि
Abhirupa	अभिरुपा
Abhisarika	अभिसारिका
Abhisri	अभीश्री
Abhitha	अभिथा
Abhithi	अभिथि
Abidah	अबिदः
Abirami	अबिरामी
Abishta	अबिष्ट
Abja	अब्जा
Ablaa	अबला
Aboil	अबोइल
Aboli	अबोली
Achala	अचला
Achira	अचिरा
Achit	अचित
Achla	अचला
Acira	असिरा
Adarsha	आदर्शा
Adeela	अदीला
Adhira	अधीरा
Adhishree	अधिष्री
Adi-Shakti	आदि-शक्ति
Adishree	अदिश्री
Aditha	अदिथा
Adithi	अदिथि
Aditi	अदिति
Aditri	अदित्री
Adrija	अद्रिजा
Adrika	अद्रिका
Adrisa	अद्रिसा
Advika	अद्विका
Adwita	अद्विता
Adwiteya	अद्वितेया
Adwitiya	अद्वितीय
Adya	आद्या
Aesha	ऐषा
Afaf	अफफ
Afraa	अफरा
Afrah	अफ्रह
Afroza	अफ्रोज़ा
Agamya	अगम्य
Aghanashini	अघनाशिनी
Agnishikha	अग्निशिखा
Agrata	अग्रता
Agrima	अग्रीमा
Ahalya	अहल्या
Ahd	अहद
Ahilya	अहिल्या
Ahimsa	अहिंसा
Ahladita	अहलादिता
Ahladitha	अहलादिथा
Ahlam	अह्लम
Aida	इदा
Aisha	एषा
Aishani	ऐशानी
Aishi	ऐशी
Aishwarya	ऐश्वर्या
Aja	अजा
Ajaa	अजा
Ajagandha	अजगंधा
Ajala	अज़ला
Ajanta	अजन्ता
Ajastha	अजस्था
Ajeeta	अजीता
Ajinder	अजिंदर
Ajita	अजीता
Akalka	अकालका
Akane	अकाने
Akanksha	आकांक्षा
Akashleena	आकाशलीना
Akhila	अखिला
Akira	अकीरा
